px_true,vx_true,py_true,vy_true,px_meas,py_meas,px_est,vx_est,py_est,vy_est
0.099386,0.987734,0.0500001,0.49945,-0.676565,0.602303,-0.676565,0,0.602303,0
0.199353,1.01113,0.0999442,0.499094,0.0185313,-0.904418,-0.438052,0.0681467,0.085291,-0.147718
0.300447,1.01134,0.149854,0.498822,-0.0818546,-0.41927,-0.336405,0.118058,-0.0624237,-0.217688
0.401517,1.01029,0.199736,0.498376,0.924996,0.667409,-0.02924,0.345258,0.0934587,-0.081033
0.502563,1.01043,0.249573,0.498349,-1.2043,1.07726,-0.260652,0.0878986,0.303433,0.13001
0.60269,0.991638,0.299408,0.498627,1.40737,0.15034,0.101836,0.476781,0.281028,0.0910816
0.703487,1.02378,0.34927,0.498015,2.35674,1.74826,0.61583,1.02082,0.59819,0.450478
0.805236,1.01139,0.399072,0.497359,1.44765,1.46154,0.871968,1.20325,0.81599,0.655052
0.906322,1.01055,0.448809,0.49726,0.157049,0.306127,0.816091,0.997301,0.760116,0.513181
1.00657,0.994063,0.498535,0.497522,0.741097,1.36555,0.879136,0.9557,0.927774,0.645113
1.10539,0.982707,0.548287,0.498317,0.373473,1.19655,0.849759,0.819618,1.03474,0.691346
1.20499,1.00949,0.59812,0.498213,-0.0834579,2.20098,0.724033,0.603623,1.32832,0.924774
1.30513,0.993117,0.647942,0.498122,1.02117,0.738533,0.831852,0.650616,1.28405,0.789363
1.40445,0.993919,0.697753,0.498209,0.249643,1.40376,0.770299,0.531381,1.37096,0.796874
1.50495,1.0158,0.747576,0.498489,2.83162,1.4639,1.20568,0.873685,1.45317,0.799133
1.60772,1.03992,0.797426,0.498301,1.88627,0.897164,1.40268,0.967106,1.41556,0.698988
1.71182,1.04238,0.847258,0.498721,1.20068,0.713382,1.44587,0.923667,1.34713,0.58671
1.81568,1.03418,0.897129,0.498957,1.45886,0.631949,1.52446,0.913004,1.27152,0.48276
1.92001,1.05244,0.947026,0.498813,1.97267,-0.754645,1.67571,0.957326,0.971341,0.22515
2.02344,1.01676,0.996908,0.498772,3.64176,0.762474,2.07549,1.17231,0.956242,0.198555
2.12569,1.02733,1.04679,0.498011,2.17705,0.074601,2.19025,1.17064,0.834268,0.102505
2.22759,1.01043,1.09659,0.498221,1.66157,-0.0103554,2.20897,1.10676,0.714329,0.0179398
2.32658,0.96938,1.14641,0.497601,2.29517,0.269361,2.31604,1.10451,0.65024,-0.0231623
2.42629,1.02459,1.19617,0.497081,3.27329,0.873482,2.54746,1.17709,0.680147,-0.00382882
2.52857,1.0207,1.24588,0.4967,1.60632,-0.0148254,2.51856,1.09238,0.58359,-0.0593959
2.63095,1.02704,1.29555,0.496234,2.55351,2.34038,2.61782,1.08682,0.814341,0.0724534
2.73411,1.03636,1.34517,0.49716,2.69002,-0.121606,2.72175,1.08427,0.698696,0.00637614
2.83659,1.01276,1.39489,0.496861,3.44043,1.85206,2.90738,1.12438,0.845156,0.0821425
2.93748,1.00495,1.44457,0.496693,1.80486,0.285173,2.8705,1.04933,0.783541,0.0470461
3.03758,0.997428,1.49424,0.496838,3.88091,0.598676,3.08361,1.10198,0.765598,0.0360246
3.13635,0.97718,1.54393,0.496595,4.68548,-0.0909264,3.36714,1.18373,0.66925,-0.0111181
3.23364,0.968286,1.59359,0.497457,2.4442,2.27691,3.36775,1.12985,0.850086,0.0721301
3.33059,0.971441,1.64333,0.497784,4.64705,1.00306,3.60919,1.18691,0.873353,0.0792616
3.42782,0.972723,1.69311,0.497557,1.76204,2.44983,3.51691,1.09585,1.04961,0.151919
3.52468,0.964542,1.74286,0.497468,2.56064,0.456602,3.51498,1.04904,1.00117,0.12521
3.62097,0.961636,1.79261,0.49821,5.46206,3.69201,3.8079,1.12584,1.28704,0.236859
3.71783,0.975567,1.84243,0.498291,4.20613,1.52237,3.94893,1.13715,1.33181,0.245244
3.81314,0.930317,1.89226,0.498407,2.72418,1.91086,3.93246,1.0867,1.41027,0.266148
3.90776,0.963,1.9421,0.498629,4.81906,2.24129,4.11505,1.11463,1.51333,0.295036
4.00436,0.968315,1.99197,0.498566,3.30016,1.78083,4.14047,1.08291,1.56494,0.303186
4.10108,0.965992,2.04182,0.498113,5.12084,1.27047,4.32797,1.11142,1.56576,0.292568
4.19971,1.00538,2.09164,0.497937,3.58321,1.85567,4.36306,1.08468,1.61818,0.300711
4.30005,1.00195,2.14143,0.497739,5.17871,4.08426,4.53303,1.10581,1.86011,0.373503
4.4016,1.02888,2.19121,0.497765,3.84479,1.88613,4.57559,1.08296,1.8965,0.373179
4.50477,1.03463,2.24098,0.497317,4.53994,1.48849,4.67187,1.07901,1.89667,0.360971
4.60921,1.0539,2.29071,0.497364,4.79357,2.58346,4.7809,1.07937,1.98596,0.378079
4.71448,1.05191,2.34045,0.496839,6.67927,1.90941,5.03232,1.12456,2.0146,0.375193
4.81797,1.01838,2.39014,0.496774,5.40454,2.99303,5.16519,1.13086,2.12607,0.398003
4.91851,0.991878,2.43981,0.496863,6.14539,2.86041,5.34513,1.15106,2.21942,0.41419
5.01837,1.00515,2.4895,0.497212,6.40748,2.87375,5.53191,1.1723,2.30721,0.427932
5.11787,0.98511,2.53922,0.497501,6.13274,3.612,5.68506,1.18274,2.44374,0.455174
5.21788,1.01531,2.58897,0.4971,6.54378,1.82007,5.85734,1.19814,2.44045,0.441257
5.31989,1.02449,2.63868,0.496727,5.68348,3.11227,5.95611,1.19225,2.52955,0.453842
5.42098,0.99721,2.68836,0.49692,4.9216,0.67728,5.99411,1.16994,2.44133,0.41714
5.52145,1.01102,2.73805,0.497564,4.63048,3.51747,6.00865,1.1423,2.55462,0.436452
5.62171,0.994314,2.7878,0.497453,6.33658,2.81192,6.13742,1.14615,2.61281,0.440304
5.72079,0.9878,2.83755,0.49825,5.09679,2.29856,6.17474,1.12602,2.63286,0.434061
5.81947,0.985566,2.88737,0.498155,4.41712,3.1568,6.16425,1.0945,2.7079,0.442158
5.91914,1.00766,2.93719,0.497884,6.92013,1.86388,6.31557,1.10504,2.69459,0.427677
6.02082,1.02541,2.98697,0.497562,7.32311,2.96521,6.48324,1.1192,2.75188,0.431273
6.12382,1.03397,3.03673,0.49751,4.64165,3.65594,6.47259,1.08934,2.84903,0.444432
6.22475,0.984315,3.08648,0.497679,7.72751,3.28339,6.65233,1.10631,2.91756,0.450206
6.32294,0.97992,3.13625,0.497839,4.38334,3.55525,6.61816,1.07215,2.99865,0.458715
6.422,1.00191,3.18603,0.497852,5.32839,4.6957,6.64163,1.05269,3.1435,0.481708
6.52114,0.980677,3.23582,0.497518,9.03237,2.67912,6.88189,1.08358,3.1614,0.474783
6.62045,1.00531,3.28557,0.497358,7.37161,3.76088,7.01245,1.08858,3.24101,0.482024
6.7199,0.983778,3.33531,0.497264,6.54474,4.03485,7.08822,1.08123,3.332,0.491522
6.81857,0.989392,3.38503,0.497156,6.70442,4.23109,7.16852,1.07515,3.42923,0.502042
6.91852,1.00922,3.43475,0.49699,7.42578,1.5507,7.28438,1.07695,3.37183,0.478839
7.01955,1.01147,3.48445,0.497296,6.18827,4.92573,7.32584,1.06286,3.50259,0.496456
7.12119,1.02133,3.53418,0.497484,5.10965,2.32133,7.30605,1.03644,3.48541,0.48245
7.22364,1.02765,3.58393,0.497197,6.55398,3.97248,7.36386,1.02696,3.55716,0.487309
7.32563,1.01175,3.63365,0.497477,6.9601,4.94855,7.43979,1.0215,3.67686,0.501781
7.42536,0.982877,3.6834,0.49697,8.15235,4.09076,7.57378,1.02791,3.74602,0.505599
7.52239,0.958311,3.73309,0.496435,6.86065,3.21213,7.63455,1.01957,3.76648,0.499623
7.61957,0.98497,3.78274,0.496389,8.4658,2.5364,7.77359,1.02683,3.75135,0.486869
7.71807,0.98528,3.83238,0.496216,7.73358,3.27201,7.86911,1.02545,3.77352,0.48174
7.81777,1.00918,3.882,0.496166,8.41161,6.93886,7.99348,1.02961,3.97629,0.511262
7.91908,1.01664,3.93161,0.495667,9.10271,3.64468,8.14573,1.03891,4.00866,0.507726
8.02053,1.01211,3.98118,0.495173,9.02814,3.64789,8.2873,1.04593,4.03952,0.504017
8.12234,1.02312,4.0307,0.494961,7.7853,3.94745,8.36289,1.04059,4.08311,0.502764
8.22422,1.01512,4.0802,0.49446,8.52003,4.82978,8.46945,1.04105,4.16629,0.508744
8.32293,0.958968,4.12965,0.49458,10.1381,5.13112,8.64664,1.05417,4.25986,0.516409
8.41703,0.923672,4.1791,0.494769,8.48672,3.54796,8.7398,1.05199,4.27625,0.510154
8.5094,0.924028,4.22858,0.49485,6.9014,3.44803,8.75629,1.03644,4.28713,0.503117
8.60068,0.901717,4.27807,0.494593,9.12305,2.86434,8.87181,1.0385,4.27096,0.491593
8.68988,0.882447,4.32753,0.494731,8.83273,4.84916,8.96928,1.0374,4.34373,0.495639
8.77713,0.862281,4.377,0.494852,8.4568,6.23246,9.04582,1.03279,4.47447,0.509392
8.86392,0.874133,4.42648,0.494824,9.43009,4.95219,9.16137,1.03485,4.54404,0.512513
8.94988,0.845394,4.47596,0.494843,8.66292,4.72486,9.23885,1.03054,4.60089,0.513441
9.03449,0.847304,4.52545,0.495139,9.78143,4.70727,9.36069,1.03362,4.65458,0.513826
9.12044,0.871331,4.57496,0.496022,8.82751,3.11127,9.43714,1.02926,4.63855,0.502897
9.20541,0.828407,4.62457,0.495263,10.6225,4.56273,9.58535,1.03652,4.68356,0.502051
9.28843,0.831968,4.67409,0.495212,9.94992,5.35092,9.6998,1.03823,4.75932,0.506106
9.37203,0.839867,4.72361,0.495159,10.0237,6.35382,9.81265,1.03965,4.8732,0.51604
